0003|0010|FY22|Fev|1|79,99|79,99|14
0003|0010|FY22|Fev|1|79,99|79,99|14
0013|0004|FY22|Fev|10|12,99|129,9|3
0013|0012|FY22|Fev|1|9,99|9,99|1
0013|0011|FY22|Fev|1|29,90|29,9|5,99
0013|0011|FY22|Fev|1|29,90|29,9|5,99
0013|0009|FY22|Fev|5|6,99|34,95|1,50
0018|0004|FY22|Fev|3|12,99|38,97|3
0018|0012|FY22|Fev|1|9,99|9,99|1
0017|0010|FY22|Fev|1|79,99|79,99|14
0017|0010|FY22|Fev|1|79,99|79,99|14
0017|0010|FY22|Fev|1|79,99|79,99|14
0017|0009|FY22|Fev|1|6,99|6,99|1,50
0003|0012|FY22|Fev|1|9,99|9,99|1
0003|0012|FY22|Fev|1|9,99|9,99|1
0013|0009|FY22|Fev|1|6,99|6,99|1,50
0013|0009|FY22|Fev|1|6,99|6,99|1,50
0013|0010|FY22|Fev|2|79,99|159,98|14
